iid,source,ems,score,target
359AP8GAGGKQ4PMO42ETR7FHWM7C7W,"I'm not too sure where to start. I guess by writing this now, I've started. I wake in the early hours of most mornings with what feels like my heart pounding out of my chest. I feel like I cannot cope with everyday stuff and feel like I'm being lumbered with every decision, such as: What are you organizing for Christmas, Easter, birthdays, etc, why dose it have to be up to me always. Feeling very alone, scared, not in control of me, overwhelmed, sad",10.  ENTITLEMENT / GRANDIOSITY  (ET),2,False
3S8APUMBJXJK9D9O8LGA4FMGCPQFBW,"I hate work, my boss is putting pressure on me all the time and don't know what to do, she knows my problems and was starting to be nice, but is going back to her normal self. I think she wants me out, why else what she be like that. I try but nothing is right, or she has to make comments which are not nice. Being there 20 years so I don't know what to do, I don't know if I can do this, But need the job, I like the people I work with but it's just my boss. I can't get signed off unless I tell my parents but I can't at the moment. Don't know what to do and can't see an answer to this.",10.  ENTITLEMENT / GRANDIOSITY  (ET),3,False
3RIHDBQ1NEY0604RU0UJLG9N437HML,"Does anyone else feel like they fake a smile everyday and when asked you're always doing good? I'm tired of it. I wanna be good for real. I'm tired of feeling like I annoy everyone. I always ask if I'm bothering people. I feel like nothing I do is right and someone or something will bring me down. There's no real joy and yet I love watching and making people smile. I feel like everything I have is fading away, my job and relationships I have with people. I don't wanna be in the way or say the wrong thing. I know others have it worse but I'm not sure what to do.",10.  ENTITLEMENT / GRANDIOSITY  (ET),6,True
3I4E7AFQ2KZ0A1P1RXYGJ7KUB37JTT,<p>So.. I feel depressed. My whole life. I&#39;ve never been diagnosed though Im too afraid to go to a therapist cause I don&#39;t want my family to know. I always try to be myself and everyone seems to hate me. They don&#39;t say something but I see it they get mad at me no matter what I say and I don&#39;t know what to do. I don&#39;t know where I belong anymore. My family says I have a sh*tty character my friends always get mad at me no matter what I say. I feel like its all my fault and I&#39;m mean and I don&#39;t deserve to be loved. What am I supposed to do? I feel like if I died they would all be relieved. What should I do? I&#39;m just a bother to everyone. That&#39;s my only crave for help my friends are tired of me being depressed my family would not understand.</p>,10.  ENTITLEMENT / GRANDIOSITY  (ET),5,True
3CZH926SICE8I0OJYVMHEJVAQWUE47,My names Angie and I honestly dont know where to from here. I cannot seem to deal with anything. The amount of stuff weighing me down is unbareable. The more I try. The more i feel like im in quicksand. I am on anti depressants and calming meds... not to mention sleeping tablets otherwise i go through days with no rest... i cant switch my mind off... i have said this before on this page... death of my father and brother... i was recently in another armed robbery they hit me on my head with a hammer... broke my ribs.... I have spoken to therapists... even pastors.... no1 seems to get how i feel... i am single and feel like i cannot carry on...just wishing for it to end....   .....,11. INSUFFICIENT SELF-CONTROL / SELF-DISCIPLINE (IS),2,False
3L60IFZKF3IEEM3G33E6TB1RNH8HHC,"I'm 17 and work 8:30 till 5:00 Monday to Friday then I walk home which takes just over an hour if I go over fields (I do this no matter the weather), my parents also think I should get a part time job... I’m exhausted, all I do when I get home (home being my boyfriends house) is curl up in a ball and cry while he tries to comfort me by telling me things will get better. I hate being at home, all my parents do is complain and have a go at me. I feel completely useless with everything, I'm hopeless at my job, I do everything wrong and have to redo it multiple times , and it's important I need to do it perfectly for clients. At home I feel useless, my parents are always saying that I never do anything, I spend all my time either sleeping or at my boyfriends, I try though, I try so hard and I just get no where. My parents complain I never eat with them, but they eat a lot earlier than me, they eat around half four when I don’t get home till after six, I cook dinner for my siblings whenever I can though. I'm sick of trying whenever I do it's never good enough, I feel like giving up. The only reason I think I’ve been able to cope this long is that I have an amazing supportive boyfriend. I have trouble sleeping and have nightmares most nights, I can't stay awake past 11 and wake up every morning around 5. I’m constantly tired, despite spending all my evenings and weekends in bed. I hardly ever go out now, and if I do its because Cameron has asked me too, but he usually just stays with me at home. My friends suggested I should go to the doctors because she's worried I could depressed and I booked an appointment for later today, but I don’t know if I want to go, I don't want to waste anyone's time. And if I do go, what do I say, what do I do, I’m so nervous even thinking about it is making me sick to the stomach. I could just use some advise, thankyou for taking the time to read this...",11. INSUFFICIENT SELF-CONTROL / SELF-DISCIPLINE (IS),3,False
3LEG2HW4UFNQL09SPSNZ3MJCIJDF2U,"<p>I am 19 years old. I am fat, ugly, and have not done anything great in life up till now. I don&#39;t think I ever will. I don&#39;t articulate very well so please bear with me.</p><p></p><p>My dad has a transferable job and I have lived in 4 cities in the last 4 years and this year will be moving to a new one(but that&#39;s for college). I have had and lost so many friends and experiences. It&#39;s saddening and deeply frustrating to feel quite so lonely all the time.&#160;I also find myself not trying very hard to maintain those lost friendships. It is very hard to establish roots in a new place so many times and I&#39;ve only ever felt more tired and saddened every new place I go. Since I am slightly introverted, it takes me time to open up to a new group of people.</p><p></p><p>I know I seem like a happy person because I joke and laugh with people once I open up enough, but where once it was a natural feeling, I now feel forced and pushed to do it. I spend most of my time alone, quietly and my mind going over a million things a minute over something from the past or some such event.&#160;</p><p></p><p>I don&#39;t know why or when this started but in my early teen years I was always quite outspoken and freely met people and was not bothered by having to move to a new city. Then about 7 years ago I started to feel less of myself, started being unsure of myself, felt underconfident about things I usually wouldn&#39;t, but I always managed to push those feelings aside. I gradually lost my feelings of inferiority and I was a pretty happy person till 3 years ago. I figured every teenager feels those things at some point so it couldn&#39;t have been something especially terrible that I was feeling - something apart from others in my peer group who must&#39;ve hid some of their problems too. I had grown to love that place and the people there after staying there for four long years - after having moved almost yearly before going there. I&#39;d enjoyed living there; I had done pretty great in my studies and I had lovely friends. So I did not relish the idea of leaving; yet it didn&#39;t bother me too greatly at the time. Initially all was well - I had a new friends circle in a new city, my studies were alright. It wasn&#39;t a very good place if I were to pick it apart. But I also was very much in touch with my old friends. Soon enough, I wanted to go back - I would talk to my old friends all the time, choose facebook and whatsapp over studies, sometimes not pay attention in class. Sure enough, I did badly in tests and exams. I felt terrible about it - I have always been a dedicated student, always enjoyed maths and science and yet I had done very badly. I felt very ashamed and tried to put away my distractions. I ended the year well with good grades and was starting to grow to like this new place too. I didn&#39;t have to cut off ties my old friends either completely to manage distractions but had found a balance and was still developing good bonds with the people here. And then my dad got transferred again.</p><p></p><p>I absolutely flipped; I screamed and shouted and revolted at the idea of going to yet another place - that too in the last year of school - when I had finally started to like where I was. I did leave; I was miserable for the first two months. I was quiet and shy and didn&#39;t feel like doing anything. My studies suffered, my focus never got together and even though I managed to mix in somewhat towards the end and had found a kindred spirit, I did not do well in the finals and entrance exams for colleges. Throughout the year, I felt underconfident, I had grown fat and felt ugly, I always felt tired and subdued, and I HATED feeling that knowing I had no business lamenting over things as petty as moving places when I had been blessed with a good upbringing. Yet I was so saddened all the time - and could never find the spirit and fire to compete and achieve something that I KNEW I have always had in me previously. That&#39;s when I started making stupid decisions. So last year I decided I would give another shot at entrance exams and stay home for a year(a drop year) in the yet another new city; I would study hard on my own, I stopped talking to everyone of my friends, absolutely spent the entire year literally alone with no one to talk to but my mother - and there&#39;s only so much I can tell my mother without feeling horrible about being a burden to my parents and being useless all around. I rallied for some time, but then I started feeling extremely suffocated, I could not concentrate, I could not stick my head in my books. I constantly thought about everything that I could&#39;ve done right and it was frustrating and depressing to think that when I had never been one to fret. And what was more pathetic was this awareness that I wasn&#39;t like this earlier when I was young and when it mattered little what I did than now when I had potentially started building my life. I don&#39;t know.. I also felt like I never had fun anymore; that I didn&#39;t how it felt to have fun anymore. I didn&#39;t feel happy doing things that I previously enjoyed. I tried swimming to relax my head and body but I just couldn&#39;t rid the spiralling mire of guilt and unhappiness. I felt so undermined - I constantly, constantly felt that I didn&#39;t have it in me to achieve and do well, something that I never felt before, something I never THOUGHT about feeling before, you know? I don&#39;t know.. the only thing that made me forget this was if I read novels or watched movies or somehow kept my head occupied. Everytime I would sit down to study I would start &#160;feeling terrible about lost opportunities and think about my friends achievements over and over and over again. I tried meditating but couldn&#39;t get any satisfactory result.&#160;It was pathetic; I know if somebody had told me they had this problem to committing to hardwork, I would think it was pathetic and an attempt to escape blame. But I knew all too well feeling low and embarrassed and sad ALL THE TIME. Hence, I read and read and read novels or stupid even fanficton or just do anything to keep my mind occupied. No wonder my studies suffered.&#160;</p><p></p><p>I have not done too great this year. I have not gotten any of the places I wanted. And I feel even worse about myself. I feel I would be much better off away from my parents, after repeatedly being such a disappointment to them, being such an useless person, being so wholly underaccomplished. I don&#39;t think I will ever have anyone I could relate these things to without sounding like a whiny, self-absorbed brat. I know I probably do now too, with my little problems when people everyday fight against so much. But I feel so.. drained, and worn out, and I don&#39;t know what to do anymore to conquer this constant feeling of loneliness and emptiness because I don&#39;t want to feel it and I hate the feeling. It&#39;s not like I haven&#39;t tried reaching out to people. I tried to talk to my mother that maybe my having moved so many places hampered my studies and routines, but I can&#39;t do that without sounding like someone whining about how they couldn&#39;t get any of my favorite colleges and blaming it on their parents. I tried telling that maybe I needed a friend to talk to but they don&#39;t understand why I would need a friend to study with. And I feel worse because *I* had refused to take coaching classes and thereby losing any chance to gain mates I could talk to in the new city. I try to reconnect with my many many circles of old friends, and I have, but frankly it&#39;s depressing to watch them moving on with their lives and enjoying college but still keeping in touch by having reunions. Is that spiteful jealousy on my part? Watching them doing great things and knowing that I won&#39;t ever do that because I am not where they are and how talented they have shown themselves to be? I feel like there&#39;s so much effort I have to put in to sound normal. I feel so undeserving and desparate. I don&#39;t know how to stop feeling this. Just going incognito again? I don&#39;t think so. It cost me everything this time. I understand things more clearly now, I think. I get that I would feel alright once I go to college and have peers around me. I understand that I would do well in the things I want to only when I am happy and content and don&#39;t have a head obsessing over little things from the past. I understand, but I don&#39;t feel good about myself.</p><p></p><p>I am in yet another new city now(since the past month), but I&#39;m going to join a decent college elsewhere pretty soon. I don&#39;t want to start it with a depressed head on my shoulders. Please tell me if I am just being stupid and a brat or it is normal to feel this way for a person like me. Please tell me if what I feel has anything to do with depression.</p>",11. INSUFFICIENT SELF-CONTROL / SELF-DISCIPLINE (IS),3,False
3CVDZS288H0GS4DLZA6JIVXAOOUMFS,The Christmas/new year period has always been particularly hard for me. I always feel like everyone gets on social media and tells everyone how wonderful their year was and how excited they are for the new year and all the great things it has to offer. It’s for this very reason that I’ve been off social media for the past 2.5 years.   For the past 10 years I have struggled with anxiety and have really tried to figure where I fit in in life. But 2019 has by far been the worst year yet. I was sexually assaulted which resulted in pregnancy. I accepted the pregnancy and decided that I would tackle this situation head on. I have always dreamt of becoming a mother and this horrible situation was allowing me this chance. Not long after I discovered I was carrying twins. Again I thought to myself I am truly blessed because even though something terrible and unimaginable had happened this was my silver lining and like was looking up. At 13 weeks I learnt that my babies were not meant to be and I continued to remind myself that I would be ok and things would get better.   For the rest of the year I have continued to fight and try and figure out where I belong. My PTSD is out of control. I get around 3 hours sleep a night if I’m lucky. Everyday life is draining and I’m trying my best to stay a float. A random smell or a image from the past sends me into complete meltdown mode. I just cry all the time. My chest feels like it’s being squished and my skin crawls with a tingling and painful feeling. And once I’m in this state it takes forever to calm back down. How do people cope? How do you stop yourself from getting into this state? 2019 really really kicked my butt. I need 2020 to be my year. I need to still find the good in the world.   Coming up on Jan 17th it will be 12 months since the assault,11. INSUFFICIENT SELF-CONTROL / SELF-DISCIPLINE (IS),2,False
3LG268AV386FJ6QH97IUMC6KIAERE3,"severe depression since two years, cant do anything, cant cook , cant concentrate, cant speak much , cant walk a lot, cant read, just stay in my bed, even if i force me to do something i am exhausted, it is a nightmare, even sitting at the table is too difficult! been on several meds, too many side effects, dont know what to do , doctors dont know either,i eat well, my vitamines are ok ...it is like i am living a severe burn out every day since two years.....someone like me? please, i dont understand.....family doing everything, i cant do anything ...i know i dont ask for a solution , but  am desperate , so intense and so long it cant be....",11. INSUFFICIENT SELF-CONTROL / SELF-DISCIPLINE (IS),2,False
3MZ3TAMYTLNRZBS35Q8L7R4CA3LIR3,"Hi all im in the midst of a major relapse (alcohol) this time.  Usually what happens is I go on a bender and verbally abuse a family member who has wronged me in the past via text. I need to go back into Hospital or at least attend a heap of AA meets Co-Vid 19 has me anxious about doing either so here I am. My BPD behaviour this week has been disgraceful. Tonight I'm craving like mad. I came here hoping I could clear my PTSD/BPD head  and stay sober. None of my family wants anything to do with me at the moment (they've had enough).  Ive booked into tomorrow nights Smart Recovery Online Meet. I just need to take one day at a time ,just need to get through the weekend till I can see my psychologist on Monday. It seems so far away. If I can stay sober my meds will work.I know alcohol is poison to me and I continue to relapse once my emotions get the better of me. Anyways lets see what happens tomorrow.",11. INSUFFICIENT SELF-CONTROL / SELF-DISCIPLINE (IS),6,True
3H5TOKO3D9J45LV4SD3J2V3X9Y646C,"I am going to try and explain the way i feel!   It is only in the last two years that i realised i suffer with depression!    For years i was drinking too much trying to self medicate! 5 years ago i gave up alcohol, yes i felt better but all these feelings of depression came along, and i had to deal with them head on!   I am 52 and have had a lot of things to deal with in life! and  although i am strong dealing with these issues when they have passed i seem to crash!    I have managed to get out of bed today, not doing much but a t least i am up! I just have overwhelming feelings of guilt! Guilty that my husband has to earn all the money! My 21 year old daughter sees this and calls me lazy and why does dad have to earn all the money!!!! She will be going back to uni next week so i know things will improve then! My husband tries to understand depression! but has never suffered with any mental health problems, and doesn't agree with antidepressants! I'm just finding everyday life a struggle at the moment! I am managing to hold down a part time job, luckily my employer is understanding!    If anyone can help with feelings of guilt and how i can overcome them, i would be very grateful!",11. INSUFFICIENT SELF-CONTROL / SELF-DISCIPLINE (IS),6,True
36GJS3V78VQW5W3V7XZ9KO55L9ZJGK,"<p>I just went through a break up after being with my boyfriend of 8 years. we lived together for the last 2 years. He said he does not have feelings for me anymore, we are not compatible and we have grown apart. he said he has been feeling like this for a while but i did not realise and i am still madly in love with him. the thing that hurts the most is that he is talking to anther girl. it is obvious he has moved on but how do i move on. The worst part is that after we broke up, we were still sleeping together for about 5 months and were still spending weekends with each other and going out to dinners. After this i assumed that he was definitely going to ask me to be his girlfriend again. But no he still said he didn&#39;t want to be with me and us sleeping together was just sex and it has been fun hanging out. This hurts so much because its only been him for 8 years. he is the person i have shared most of my first experiences with. he is my first everything. i no longer sleep much at night, i think so much, i haven&#39;t eaten much and keep thinking of suicide. i even cut myself a few times although i haven&#39;t done that in 4 weeks. Even when i am at work i can not concentrate and i&#39;ve been crying almost every day. nothing makes me happy anymore. i think about me and him all the time and i&#39;ve blocked most of my friends o my phone because i dont feel like being around anyone. i dont know how to move past this. i don;t kno what to do.</p>",11. INSUFFICIENT SELF-CONTROL / SELF-DISCIPLINE (IS),7,True
3BFF0DJK8XCT948RER7UB8BH7MKTSJ,"hi all new here i'm a 30 year old married man , in full time demanding work which i love and have a beautiful 3 year old daughter,  however i think i've had depression for two years now , i was prescribed sertraline some time ago but never took it, i still have the tabets and think about taking it all the time as my symtoms arnt improving, i'm just too scared of side effects and worried i'll be become addicted to it, i fear that if i start taking it and start feeling better i'll think i my head ""ah sod it i'm fine' stop taking it and then have some kind of mental breakdown.      my symtoms at the moment include sudden feelings of panic and an intense fear of death i feel like i'm trapped in my body and powerless to find a place of safety.      i have a great fear of illnesses and a deep loving feeling for my family which comes with a horrible sence that i will one day lose them. I have horrible introusive thoughts and spend 90% of the day reasuring myself in my head that i'm not ill or dying, this leaves me with a low mood most days which is worse on dark cloudy days that it is on sunny days.         i struggle looking people in the eye and find it impossible to hold a conversation without stuttering my words, blushing and looking away. i just come across as rude but in my head i just want to be friends with everyone but cant.        i cope my keeping constanlty busy as this deters my mind, but t dosent make the feelings go away, i also workout alot which helps at the time but as soon as i stop it returns , i struggle sleeping at night and cant sit still or concertate on tv.      i'm found this site by googling stuff, can anyone here relate to what i'm going through and if so would you recomend sertraline      thank you",11. INSUFFICIENT SELF-CONTROL / SELF-DISCIPLINE (IS),5,True
3D5G8J4N5A491WPV8MCZMVVO6QETVO,I've struggled for depression for years and always managed to get through it. However in the past yesr my life has taken the turn for the worst. Firstly my father was diagnosed with depression & shortly after I was made redundant. This cycle continued and I have since been made redundant in the following 3 jobs I have had. I have completely given up after forcing myself to get up & carry on. All my strength and self esteem has been swapped for depression and anger. My girlfriend has gotten the brunt of it all. In a way I almost emotionally abuse her. I flip out at the smallest of things such as if she doesn't reply to a text message. I constantly end our relationship. Tell her she doesn't support me doesn't understand or care about anyone but herself. She is the most caring person I have ever been with yet I keep pushing her away and destroying our relationship. Taking out the anger I feel on the world on her. Yesterday she left to stay at a friends as I told her to leave. Now I feel nothing but an increased hate and resentment towards her for leaving knowing how low I feel although I told her to leave.    I don't know what to do any more. Why am I taking this out on her? All I feel inside is pain & all I can think about is self harm (which I have started again) & ending my life.,11. INSUFFICIENT SELF-CONTROL / SELF-DISCIPLINE (IS),7,True
37YYO3NWHDQWG6HKVJM47T7VXXYCCP,"<p>Feeling like I&#39;ve let my self down in ways, training to be strong miltary trained, hmm by now you&#39;d think you could let this go I&#39;ve said it before should be a skill we master </p><p>It&#39;s irrelevant the conversation I&#39;m referring to the person too. </p><p>Sometimes I think the cause we use is the reason we get to excuse ourselves happy to win no matter the cost.</p><p>We should stop and not lose sight of why people are here shouldn&#39;t matter whom is right or wrong is it not all just word play holding a person accountable for maybe not choosing the correct words </p><p>I feel bad today for trying to justify my actions that posinaly pushed someone away from help and the site lost touch with what mattered the most and became indulged in a point scoring contest on words and the use of them failing to realise there&#39;s a person at the other end of the screen reading digesting the information the person in question resulted into changing their name and I failed to notice that is something I&#39;ll never forget they asked for me to leave it maybe the embarrassment I put on them on technicalities was to much to bare the public humiliation a step to far </p><p>Now I fear the person has left the site and I myself pushed them further away from the help they needed </p><p>What can I say I feel empty I feel disgusted In myself how did the plea to stop slip past an otherwise hypo-vidgalant person in becoming to the aid of someone else I became the bully of another </p><p>For what purpose I feel no better sometimes we have to learn to walk away is the biggest and best thing to do so disappointed it lost its meaning and became a need to prove a point and someone else suffered for it at my hand that&#39;s not what I&#39;m about at all </p>",11. INSUFFICIENT SELF-CONTROL / SELF-DISCIPLINE (IS),6,True
38EHZ67RIMSM649GAUC10GXMP3UGML,"*A bit graphic and might not suit everyone's reading*.      I've suffered and battled depression for 11 years officially but I think I've had depression much longer!  My problem is, it's really affecting my marriage.  I have a major problem with intimacy and am scared that my husband will find someone else.  He works away so has ample opportunity to have 'another life'.  I feel so much weight on my shoulders to be the wife I should be but I just can't.  I'm sure my medication plays a huge part in this as well as my past.  I witnessed a lot of sexual activity as a young child (5 years and upwards) from my parents who were extremely active and very selfish.  I came across pornographic photos of my parents in various sexual scenes on my bed, on my sisters bed, in our living room, kitchen table etc, with VERY graphic images.  I live in Spain no don't have a very good support system here, the health service is difficult with the language barrier and I feel that as long as they are dishing out the tablets they feel their work is done.  Does anyone have any advice for me on how I can deal with this?  Thanks in advance x",8.  ENMESHMENT  /  UNDEVELOPED SELF   (EM),3,False
